icd10code,icd10codedescr,disease_new,disease_name_new,disease_number_new
I42.1,Obstructive hypertrophic cardiomyopathy,Hypertrophic Cardiomyopathy,hocm,26
N43.3,"Hydrocele, unspecified",Hydrocoele (incl infected),hydrocele,111
N43.1,Infected hydrocele,Hydrocoele (incl infected),hydrocele,111
N43.0,Encysted hydrocele,Hydrocoele (incl infected),hydrocele,111
P83.5,Congenital hydrocele,Hydrocoele (incl infected),hydrocele,111
N43.2,Other hydrocele,Hydrocoele (incl infected),hydrocele,111
J34.3,Hypertrophy of nasal turbinates,Hypertrophy of nasal turbinates,hyper_nasal_turbs,128
I15,Secondary hypertension,Hypertension,hypertension,25
I12,Hypertensive renal disease,Hypertension,hypertension,25
I10,Essential (primary) hypertension,Hypertension,hypertension,25
I11,Hypertensive heart disease,Hypertension,hypertension,25
I13,Hypertensive heart and renal disease,Hypertension,hypertension,25
K58,Irritable bowel syndrome,Irritable bowel syndrome,ibs,73
D50,Iron deficiency anaemia,Iron deficiency anaemia,ida,141
D84.9,"Immunodeficiency, unspecified",Immunodeficiencies,immunodef,140
D83,Common variable immunodeficiency,Immunodeficiencies,immunodef,140
D84.8,Other specified immunodeficiencies,Immunodeficiencies,immunodef,140
D84.0,Lymphocyte function antigen-1 [LFA-1] defect,Immunodeficiencies,immunodef,140
D81,Combined immunodeficiencies,Immunodeficiencies,immunodef,140
D82,Immunodeficiency associated with other major defects,Immunodeficiencies,immunodef,140
D80,Immunodeficiency with predominantly antibody defects,Immunodeficiencies,immunodef,140
M51,Other intervertebral disc disorders,Intervertebral disc disorders,intervert_disc,202
M50,Cervical disc disorders,Intervertebral disc disorders,intervert_disc,202
I61,Intracerebral haemorrhage,Intracerebral haemorrhage,intracereb_haem,27
I69.1,Sequelae of intracerebral haemorrhage,Intracerebral haemorrhage,intracereb_haem,27
G93.2,Benign intracranial hypertension,Intracranial hypertension,intracranial_htn,219
I69.3,Sequelae of cerebral infarction,Ischaemic stroke,isch_stroke,28
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Ischaemic stroke,isch_stroke,28
I63.4,Cerebral infarction due to embolism of cerebral arteries,Ischaemic stroke,isch_stroke,28
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Ischaemic stroke,isch_stroke,28
I63.1,Cerebral infarction due to embolism of precerebral arteries,Ischaemic stroke,isch_stroke,28
I63.9,"Cerebral infarction, unspecified",Ischaemic stroke,isch_stroke,28
I63.3,Cerebral infarction due to thrombosis of cerebral arteries,Ischaemic stroke,isch_stroke,28
I63.8,Other cerebral infarction,Ischaemic stroke,isch_stroke,28
I63.0,Cerebral infarction due to thrombosis of precerebral arteries,Ischaemic stroke,isch_stroke,28
H16,Keratitis,Keratitis,keratitis,94
H19.1,Herpesviral keratitis and keratoconjunctivitis,Keratitis,keratitis,94
H19.2,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,Keratitis,keratitis,94
H19.3,Keratitis and keratoconjunctivitis in other diseases classified elsewhere,Keratitis,keratitis,94
I44.7,"Left bundle-branch block, unspecified",Left bundle branch block,lbbb,29
D25,Leiomyoma of uterus,Leiomyoma of uterus,leiomyoma,6
L43,Lichen planus,Lichen planus,lichen_planus,233
L66.1,Lichen planopilaris,Lichen planus,lichen_planus,233
K75.0,Abscess of liver,Infection of liver,liver,160
B67.8,"Echinococcosis, unspecified, of liver",Infection of liver,liver,160
B67.0,Echinococcus granulosus infection of liver,Infection of liver,liver,160
B67.5,Echinococcus multilocularis infection of liver,Infection of liver,liver,160
B94.2,Sequelae of viral hepatitis,Infection of liver,liver,160
B15,Acute hepatitis A,Infection of liver,liver,160
A06.4,Amoebic liver abscess,Infection of liver,liver,160
B58.1,Toxoplasma hepatitis,Infection of liver,liver,160
K77.0,Liver disorders in infectious and parasitic diseases classified elsewhere,Infection of liver,liver,160
B17,Other acute viral hepatitis,Infection of liver,liver,160
B18,Chronic viral hepatitis,Infection of liver,liver,160
B16,Acute hepatitis B,Infection of liver,liver,160
B19,Unspecified viral hepatitis,Infection of liver,liver,160
B25.1,Cytomegaloviral hepatitis,Infection of liver,liver,160
K70,Alcoholic liver disease,Alcoholic liver disease,liver_alc,53
B15.0,Hepatitis A with hepatic coma,Hepatic failure,liver_fail,70
B19.0,Unspecified viral hepatitis with hepatic coma,Hepatic failure,liver_fail,70
K76.3,Infarction of liver,Hepatic failure,liver_fail,70
K71.1,Toxic liver disease with hepatic necrosis,Hepatic failure,liver_fail,70
K70.4,Alcoholic hepatic failure,Hepatic failure,liver_fail,70
K76.2,Central haemorrhagic necrosis of liver,Hepatic failure,liver_fail,70
K72,"Hepatic failure, not elsewhere classified",Hepatic failure,liver_fail,70
B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Hepatic failure,liver_fail,70
B42.0,Pulmonary sporotrichosis,Lower Respiratory Tract Infections,lrti,167
B37.1,Pulmonary candidiasis,Lower Respiratory Tract Infections,lrti,167
J85.1,Abscess of lung with pneumonia,Lower Respiratory Tract Infections,lrti,167
B46.0,Pulmonary mucormycosis,Lower Respiratory Tract Infections,lrti,167
B38.2,"Pulmonary coccidioidomycosis, unspecified",Lower Respiratory Tract Infections,lrti,167
A22.1,Pulmonary Anthrax,Lower Respiratory Tract Infections,lrti,167
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Lower Respiratory Tract Infections,lrti,167
J12,"Viral pneumonia, not elsewhere classified",Lower Respiratory Tract Infections,lrti,167
J18,"Pneumonia, organism unspecified",Lower Respiratory Tract Infections,lrti,167
J65,Pneumoconiosis associated with tuberculosis,Lower Respiratory Tract Infections,lrti,167
A21.2,Pulmonary tularaemia,Lower Respiratory Tract Infections,lrti,167
B41.0,Pulmonary paracoccidioidomycosis,Lower Respiratory Tract Infections,lrti,167
A42.0,Pulmonary actinomycosis,Lower Respiratory Tract Infections,lrti,167
B44.0,Invasive pulmonary aspergillosis,Lower Respiratory Tract Infections,lrti,167
J10.0,"Influenza with pneumonia, other influenza virus identified",Lower Respiratory Tract Infections,lrti,167
B01.2,Varicella pneumonia,Lower Respiratory Tract Infections,lrti,167
A43.0,Pulmonary nocardiosis,Lower Respiratory Tract Infections,lrti,167
B40.1,Chronic pulmonary blastomycosis,Lower Respiratory Tract Infections,lrti,167
B39.1,Chronic pulmonary histoplasmosis capsulati,Lower Respiratory Tract Infections,lrti,167
B45.0,Pulmonary cryptococcosis,Lower Respiratory Tract Infections,lrti,167
B40.0,Acute pulmonary blastomycosis,Lower Respiratory Tract Infections,lrti,167
A20.2,Pneumonic plague,Lower Respiratory Tract Infections,lrti,167
J13,Pneumonia due to Streptococcus pneumoniae,Lower Respiratory Tract Infections,lrti,167
A31.0,Pulmonary mycobacterial infection,Lower Respiratory Tract Infections,lrti,167
J11.0,"Influenza with pneumonia, virus not identified",Lower Respiratory Tract Infections,lrti,167
B59,Pneumocystosis,Lower Respiratory Tract Infections,lrti,167
B40.2,"Pulmonary blastomycosis, unspecified",Lower Respiratory Tract Infections,lrti,167
P23,Congenital pneumonia,Lower Respiratory Tract Infections,lrti,167
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Lower Respiratory Tract Infections,lrti,167
J22,Unspecified acute lower respiratory infection,Lower Respiratory Tract Infections,lrti,167
J16,"Pneumonia due to other infectious organisms, not elsewhere classified",Lower Respiratory Tract Infections,lrti,167
B38.0,Acute pulmonary coccidioidomycosis,Lower Respiratory Tract Infections,lrti,167
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Lower Respiratory Tract Infections,lrti,167
J21,Acute bronchiolitis,Lower Respiratory Tract Infections,lrti,167
J14,Pneumonia due to Haemophilus influenzae,Lower Respiratory Tract Infections,lrti,167
B25.0,Cytomegaloviral pneumonitis,Lower Respiratory Tract Infections,lrti,167
J20,Acute bronchitis,Lower Respiratory Tract Infections,lrti,167
B39.2,"Pulmonary histoplasmosis capsulati, unspecified",Lower Respiratory Tract Infections,lrti,167
J17,Pneumonia in diseases classified elsewhere,Lower Respiratory Tract Infections,lrti,167
J15,"Bacterial pneumonia, not elsewhere classified",Lower Respiratory Tract Infections,lrti,167
B67.1,Echinococcus granulosus infection of lung,Lower Respiratory Tract Infections,lrti,167
B39.0,Acute pulmonary histoplasmosis capsulati,Lower Respiratory Tract Infections,lrti,167
B38.1,Chronic pulmonary coccidioidomycosis,Lower Respiratory Tract Infections,lrti,167
B05.2,Measles complicated by pneumonia,Lower Respiratory Tract Infections,lrti,167
B58.3,Pulmonary toxoplasmosis,Lower Respiratory Tract Infections,lrti,167
J86,Pyothorax,Lower Respiratory Tract Infections,lrti,167
A06.5,Amoebic lung abscess,Lower Respiratory Tract Infections,lrti,167
A37,Whooping cough,Lower Respiratory Tract Infections,lrti,167
B44.1,Other pulmonary aspergillosis,Lower Respiratory Tract Infections,lrti,167
J85.0,Gangrene and necrosis of lung,Lower Respiratory Tract Infections,lrti,167
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Lower Respiratory Tract Infections,lrti,167
J85.2,Abscess of lung without pneumonia,Lower Respiratory Tract Infections,lrti,167
A69.2,Lyme disease,Lyme disease,lyme,168
M01.2,Arthritis in Lyme disease,Lyme disease,lyme,168
H35.3,Degeneration of macula and posterior pole,Macular degeneration,macula_degen,95
N41.3,Prostatocystitis,Infection of male genital system,male_gu,161
N48.1,Balanoposthitis,Infection of male genital system,male_gu,161
N41.2,Abscess of prostate,Infection of male genital system,male_gu,161
N43.1,Infected hydrocele,Infection of male genital system,male_gu,161
B26.0,Mumps orchitis,Infection of male genital system,male_gu,161
N45,Orchitis and epididymitis,Infection of male genital system,male_gu,161
N41.0,Acute prostatitis,Infection of male genital system,male_gu,161
N46,Male infertility,Male infertility,male_infertility,113
H81.0,Meniere's disease,Meniere disease,meniere,83
A20.3,Plague meningitis,Meningitis,meningitis,169
A17.0,Tuberculous meningitis,Meningitis,meningitis,169
B05.1,Measles complicated by meningitis,Meningitis,meningitis,169
A32.1,Listerial meningitis and meningoencephalitis,Meningitis,meningitis,169
G01,Meningitis in bacterial diseases classified elsewhere,Meningitis,meningitis,169
B01.0,Varicella meningitis,Meningitis,meningitis,169
B02.1,Zoster meningitis,Meningitis,meningitis,169
G00,"Bacterial meningitis, not elsewhere classified",Meningitis,meningitis,169
B38.4,Coccidioidomycosis meningitis,Meningitis,meningitis,169
B26.1,Mumps meningitis,Meningitis,meningitis,169
A39.0,Meningococcal meningitis,Meningitis,meningitis,169
B00.3,Herpesviral meningitis,Meningitis,meningitis,169
B37.5,Candidal meningitis,Meningitis,meningitis,169
G02.0,Meningitis in viral diseases classified elsewhere,Meningitis,meningitis,169
G02.8,Meningitis in other specified infectious and parasitic diseases classified elsewhere,Meningitis,meningitis,169
A87,Viral meningitis,Meningitis,meningitis,169
A17.1,Meningeal tuberculoma,Meningitis,meningitis,169
G02.1,Meningitis in mycoses,Meningitis,meningitis,169
N92.4,Excessive bleeding in the premenopausal period,Menorrhagia and polymenorrhoea,menorrhagia,114
N92.1,Excessive and frequent menstruation with irregular cycle,Menorrhagia and polymenorrhoea,menorrhagia,114
N92.0,Excessive and frequent menstruation with regular cycle,Menorrhagia and polymenorrhoea,menorrhagia,114
N92.2,Excessive menstruation at puberty,Menorrhagia and polymenorrhoea,menorrhagia,114
G43,Migraine,Migraine,migraine,220
G12.2,Motor neuron disease,Motor neuron disease,mnd,221
G35,Multiple sclerosis,Multiple sclerosis,ms,222
I08,Multiple valve diseases,Multiple valve dz,mult_valve,30
G70.0,Myasthenia gravis,Myasthenia gravis,myasthenia,223
H62.2,Otitis externa in mycoses,Mycoses,mycoses,170
M01.6,Arthritis in mycoses,Mycoses,mycoses,170
B59,Pneumocystosis,Mycoses,mycoses,170
B35,Dermatophytosis,Mycoses,mycoses,170
B38,Coccidioidomycosis,Mycoses,mycoses,170
B47,Mycetoma,Mycoses,mycoses,170
B40,Blastomycosis,Mycoses,mycoses,170
B43,Chromomycosis and phaeomycotic abscess,Mycoses,mycoses,170
B37,Candidiasis,Mycoses,mycoses,170
B49,Unspecified mycosis,Mycoses,mycoses,170
B20.5,HIV disease resulting in other mycoses,Mycoses,mycoses,170
B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia,Mycoses,mycoses,170
B48,"Other mycoses, not elsewhere classified",Mycoses,mycoses,170
J17.2,Pneumonia in mycoses,Mycoses,mycoses,170
B46,Zygomycosis,Mycoses,mycoses,170
B41,Paracoccidioidomycosis,Mycoses,mycoses,170
B39,Histoplasmosis,Mycoses,mycoses,170
B36,Other superficial mycoses,Mycoses,mycoses,170
B44,Aspergillosis,Mycoses,mycoses,170
B45,Cryptococcosis,Mycoses,mycoses,170
B20.4,HIV disease resulting in candidiasis,Mycoses,mycoses,170
G02.1,Meningitis in mycoses,Mycoses,mycoses,170
B42,Sporotrichosis,Mycoses,mycoses,170
I24.1,Dressler's syndrome,Myocardial infarction,myocardial_infarction,31
I23,Certain current complications following acute myocardial infarction,Myocardial infarction,myocardial_infarction,31
I25.2,Old myocardial infarction,Myocardial infarction,myocardial_infarction,31
I21,Acute myocardial infarction,Myocardial infarction,myocardial_infarction,31
I22,Subsequent myocardial infarction,Myocardial infarction,myocardial_infarction,31
J33,Nasal polyp,Nasal polyp,nasal_polyp,129
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",Neuromuscular dysfunction of bladder,neuro_bladder,115
I35,Nonrheumatic aortic valve disorders,Nonrheumatic aortic valve disorders,nonrh_aortic,32
I34,Nonrheumatic mitral valve disorders,Nonrheumatic mitral valve disorders,nonrh_mitral,33
M16,Coxarthrosis [arthrosis of hip],Osteoarthritis (excl spine),oa,204
M15,Polyarthrosis,Osteoarthritis (excl spine),oa,204
M18,Arthrosis of first carpometacarpal joint,Osteoarthritis (excl spine),oa,204
M17,Gonarthrosis [arthrosis of knee],Osteoarthritis (excl spine),oa,204
M19,Other arthrosis,Osteoarthritis (excl spine),oa,204
N13.8,Other obstructive and reflux uropathy,Obstructive and reflux uropathy,obstr_reflux,117
N13.9,"Obstructive and reflux uropathy, unspecified",Obstructive and reflux uropathy,obstr_reflux,117
N13.5,Kinking and stricture of ureter without hydronephrosis,Obstructive and reflux uropathy,obstr_reflux,117
N13.7,Vesicoureteral-reflux-associated uropathy,Obstructive and reflux uropathy,obstr_reflux,117
N13.3,Other and unspecified hydronephrosis,Obstructive and reflux uropathy,obstr_reflux,117
N13.1,"Hydronephrosis with ureteral stricture, not elsewhere classified",Obstructive and reflux uropathy,obstr_reflux,117
N13.6,Pyonephrosis,Obstructive and reflux uropathy,obstr_reflux,117
N13.0,Hydronephrosis with ureteropelvic junction obstruction,Obstructive and reflux uropathy,obstr_reflux,117
N13.4,Hydroureter,Obstructive and reflux uropathy,obstr_reflux,117
N13.2,Hydronephrosis with renal and ureteral calculous obstruction,Obstructive and reflux uropathy,obstr_reflux,117
F42,Obsessive-compulsive disorder,Obsessive-compulsive disorder,ocd,188
K22.1,Ulcer of oesophagus,Oesophagitis and oesophageal ulcer,oesoph_ulc,75
K20,Oesophagitis,Oesophagitis and oesophageal ulcer,oesoph_ulc,75
K21.0,Gastro-oesophageal reflux disease with oesophagitis,Oesophagitis and oesophageal ulcer,oesoph_ulc,75
M82,Osteoporosis in diseases classified elsewhere,Osteoporosis,osteoporosis,205
M80,Osteoporosis with pathological fracture,Osteoporosis,osteoporosis,205
M81,Osteoporosis without pathological fracture,Osteoporosis,osteoporosis,205
D63,Anaemia in chronic diseases classified elsewhere,Other anaemias,oth_anaemia,142
D62,Acute posthaemorrhagic anaemia,Other anaemias,oth_anaemia,142
D64,Other anaemias,Other anaemias,oth_anaemia,142
D53,Other nutritional anaemias,Other anaemias,oth_anaemia,142
N75.1,Abscess of Bartholin's gland,Infection of other or unspecified genitourinary system,oth_gu,162
N77.1,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere",Infection of other or unspecified genitourinary system,oth_gu,162
A56.0,Chlamydial infection of lower genitourinary tract,Infection of other or unspecified genitourinary system,oth_gu,162
A18.1,Tuberculosis of genitourinary system,Infection of other or unspecified genitourinary system,oth_gu,162
A51.0,Primary genital syphilis,Infection of other or unspecified genitourinary system,oth_gu,162
A59.0,Urogenital trichomoniasis,Infection of other or unspecified genitourinary system,oth_gu,162
B37.3,Candidiasis of vulva and vagina,Infection of other or unspecified genitourinary system,oth_gu,162
A58,Granuloma inguinale,Infection of other or unspecified genitourinary system,oth_gu,162
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,Infection of other or unspecified genitourinary system,oth_gu,162
A56.2,"Chlamydial infection of genitourinary tract, unspecified",Infection of other or unspecified genitourinary system,oth_gu,162
B37.4,Candidiasis of other urogenital sites,Infection of other or unspecified genitourinary system,oth_gu,162
N77.0,Ulceration of vulva in infectious and parasitic diseases classified elsewhere,Infection of other or unspecified genitourinary system,oth_gu,162
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Infection of other or unspecified genitourinary system,oth_gu,162
A57,Chancroid,Infection of other or unspecified genitourinary system,oth_gu,162
B90.1,Sequelae of genitourinary tuberculosis,Infection of other or unspecified genitourinary system,oth_gu,162
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,Infection of other or unspecified genitourinary system,oth_gu,162
A60.0,Herpesviral infection of genitalia and urogenital tract,Infection of other or unspecified genitourinary system,oth_gu,162
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,Infection of other or unspecified genitourinary system,oth_gu,162
D58,Other hereditary haemolytic anaemias,Other haemolytic anaemias,oth_haem_anaemia,143
D55,Anaemia due to enzyme disorders,Other haemolytic anaemias,oth_haem_anaemia,143
D59,Acquired haemolytic anaemia,Other haemolytic anaemias,oth_haem_anaemia,143
A17.9,"Tuberculosis of nervous system, unspecified",Other nervous system infections,oth_nerv_sys,171
A06.6,Amoebic brain abscess,Other nervous system infections,oth_nerv_sys,171
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Other nervous system infections,oth_nerv_sys,171
A81,Atypical virus infections of central nervous system,Other nervous system infections,oth_nerv_sys,171
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Other nervous system infections,oth_nerv_sys,171
A52.2,Asymptomatic neurosyphilis,Other nervous system infections,oth_nerv_sys,171
A52.1,Symptomatic neurosyphilis,Other nervous system infections,oth_nerv_sys,171
G06,Intracranial and intraspinal abscess and granuloma,Other nervous system infections,oth_nerv_sys,171
B50.0,Plasmodium falciparum malaria with cerebral complications,Other nervous system infections,oth_nerv_sys,171
A82,Rabies,Other nervous system infections,oth_nerv_sys,171
G05.2,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",Other nervous system infections,oth_nerv_sys,171
B58.2,Toxoplasma meningoencephalitis,Other nervous system infections,oth_nerv_sys,171
B91,Sequelae of poliomyelitis,Other nervous system infections,oth_nerv_sys,171
G05.1,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",Other nervous system infections,oth_nerv_sys,171
M89.6,Osteopathy after poliomyelitis,Other nervous system infections,oth_nerv_sys,171
A17.8,Other tuberculosis of nervous system,Other nervous system infections,oth_nerv_sys,171
G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",Other nervous system infections,oth_nerv_sys,171
G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified",Other nervous system infections,oth_nerv_sys,171
B43.1,Phaeomycotic brain abscess,Other nervous system infections,oth_nerv_sys,171
B90.0,Sequelae of central nervous system tuberculosis,Other nervous system infections,oth_nerv_sys,171
B45.1,Cerebral cryptococcosis,Other nervous system infections,oth_nerv_sys,171
G04.8,"Other encephalitis, myelitis and encephalomyelitis",Other nervous system infections,oth_nerv_sys,171
A89,Unspecified viral infection of central nervous system,Other nervous system infections,oth_nerv_sys,171
A80,Acute poliomyelitis,Other nervous system infections,oth_nerv_sys,171
A88,"Other viral infections of central nervous system, not elsewhere classified",Other nervous system infections,oth_nerv_sys,171
G05.0,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",Other nervous system infections,oth_nerv_sys,171
B06.0,Rubella with neurological complications,Other nervous system infections,oth_nerv_sys,171
B02.2,Zoster with other nervous system involvement,Other nervous system infections,oth_nerv_sys,171
A52.3,"Neurosyphilis, unspecified",Other nervous system infections,oth_nerv_sys,171
B69.0,Cysticercosis of central nervous system,Other nervous system infections,oth_nerv_sys,171
I98.1,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
K77.0,Liver disorders in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
A63.8,Other specified predominantly sexually transmitted diseases,Other or unspecified infectious organisms,oth_organisms,172
N30.9,"Cystitis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
G04.8,"Other encephalitis, myelitis and encephalomyelitis",Other or unspecified infectious organisms,oth_organisms,172
P23.9,"Congenital pneumonia, unspecified",Other or unspecified infectious organisms,oth_organisms,172
M46.4,"Discitis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
H66,Suppurative and unspecified otitis media,Other or unspecified infectious organisms,oth_organisms,172
A81.0,Creutzfeldt-Jakob disease,Other or unspecified infectious organisms,oth_organisms,172
B99,Other and unspecified infectious diseases,Other or unspecified infectious organisms,oth_organisms,172
A81.8,Other atypical virus infections of central nervous system,Other or unspecified infectious organisms,oth_organisms,172
A64,Unspecified sexually transmitted disease,Other or unspecified infectious organisms,oth_organisms,172
G05.2,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",Other or unspecified infectious organisms,oth_organisms,172
J17.8,Pneumonia in other diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
H62.3,Otitis externa in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
M01.8,Arthritis in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
J20.8,Acute bronchitis due to other specified organisms,Other or unspecified infectious organisms,oth_organisms,172
J04,Acute laryngitis and tracheitis,Other or unspecified infectious organisms,oth_organisms,172
H67.8,Otitis media in other diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
A41.9,"Sepsis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Other or unspecified infectious organisms,oth_organisms,172
G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
G53.1,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
J03.8,Acute tonsillitis due to other specified organisms,Other or unspecified infectious organisms,oth_organisms,172
H73.1,Chronic myringitis,Other or unspecified infectious organisms,oth_organisms,172
L30.3,Infective dermatitis,Other or unspecified infectious organisms,oth_organisms,172
J20.9,"Acute bronchitis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
J22,Unspecified acute lower respiratory infection,Other or unspecified infectious organisms,oth_organisms,172
J02.9,"Acute pharyngitis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
H65,Nonsuppurative otitis media,Other or unspecified infectious organisms,oth_organisms,172
J06,Acute upper respiratory infections of multiple and unspecified sites,Other or unspecified infectious organisms,oth_organisms,172
N77.1,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere",Other or unspecified infectious organisms,oth_organisms,172
A41.8,Other specified sepsis,Other or unspecified infectious organisms,oth_organisms,172
H10,Conjunctivitis,Other or unspecified infectious organisms,oth_organisms,172
I40.0,Infective myocarditis,Other or unspecified infectious organisms,oth_organisms,172
G06,Intracranial and intraspinal abscess and granuloma,Other or unspecified infectious organisms,oth_organisms,172
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Other or unspecified infectious organisms,oth_organisms,172
J16.8,Pneumonia due to other specified infectious organisms,Other or unspecified infectious organisms,oth_organisms,172
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Other or unspecified infectious organisms,oth_organisms,172
N16.0,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
N30.0,Acute cystitis,Other or unspecified infectious organisms,oth_organisms,172
N10,Acute tubulo-interstitial nephritis,Other or unspecified infectious organisms,oth_organisms,172
K75.0,Abscess of liver,Other or unspecified infectious organisms,oth_organisms,172
A81.9,"Atypical virus infection of central nervous system, unspecified",Other or unspecified infectious organisms,oth_organisms,172
P37.8,Other specified congenital infectious and parasitic diseases,Other or unspecified infectious organisms,oth_organisms,172
I33.0,Acute and subacute infective endocarditis,Other or unspecified infectious organisms,oth_organisms,172
N34,Urethritis and urethral syndrome,Other or unspecified infectious organisms,oth_organisms,172
H70,Mastoiditis and related conditions,Other or unspecified infectious organisms,oth_organisms,172
L08.8,Other specified local infections of skin and subcutaneous tissue,Other or unspecified infectious organisms,oth_organisms,172
M46.5,Other infective spondylopathies,Other or unspecified infectious organisms,oth_organisms,172
J03.9,"Acute tonsillitis, unspecified",Other or unspecified infectious organisms,oth_organisms,172
J00,Acute nasopharyngitis [common cold],Other or unspecified infectious organisms,oth_organisms,172
J02.8,Acute pharyngitis due to other specified organisms,Other or unspecified infectious organisms,oth_organisms,172
J05,Acute obstructive laryngitis [croup] and epiglottitis,Other or unspecified infectious organisms,oth_organisms,172
M03,Postinfective and reactive arthropathies in diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
G94.0,Hydrocephalus in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
H19.2,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
H62.4,Otitis externa in other diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
L08.9,"Local infection of skin and subcutaneous tissue, unspecified",Other or unspecified infectious organisms,oth_organisms,172
J18,"Pneumonia, organism unspecified",Other or unspecified infectious organisms,oth_organisms,172
B94.8,Sequelae of other specified infectious and parasitic diseases,Other or unspecified infectious organisms,oth_organisms,172
M02,Reactive arthropathies,Other or unspecified infectious organisms,oth_organisms,172
P39,Other infections specific to the perinatal period,Other or unspecified infectious organisms,oth_organisms,172
J01,Acute sinusitis,Other or unspecified infectious organisms,oth_organisms,172
H73.0,Acute myringitis,Other or unspecified infectious organisms,oth_organisms,172
I32.1,Pericarditis in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
H75.0,Mastoiditis in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
I41.2,Myocarditis in other infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
N48.1,Balanoposthitis,Other or unspecified infectious organisms,oth_organisms,172
M46.3,Infection of intervertebral disc (pyogenic),Other or unspecified infectious organisms,oth_organisms,172
L08.0,Pyoderma,Other or unspecified infectious organisms,oth_organisms,172
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Other or unspecified infectious organisms,oth_organisms,172
A08.5,Other specified intestinal infections,Other or unspecified infectious organisms,oth_organisms,172
H60,Otitis externa,Other or unspecified infectious organisms,oth_organisms,172
G63.0,Polyneuropathy in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
N08.0,Glomerular disorders in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
P37.9,"Congenital infectious and parasitic disease, unspecified",Other or unspecified infectious organisms,oth_organisms,172
